CL,GHI,GOI,Finance Standards,Custo Fixo,Meta Financeira,Crescimento de Caixa,Ticket Médio,FINANÇAS,IXP,Team Standards,Educação,Member NPS,Pipeline,% RH/Retenção,MEMBRESIA,Aud Fin,Aud Qual,Aud Contra,Aud Legal,AUDITORIA,ATINGIMENTO,BETTER,FASTER,MORE
BELO HORIZONTE,"7,63","5,81","8,43","10,00","8,72","0,00","7,10","6,14","6,16","7,40","10,74","9,36","9,12","10,00","8,53","9,84","6,95","8,16","9,33","8,57","7,59","6,10","9,72","5,02"
BRASÍLIA,"7,15","5,23","7,89","10,00","8,90","0,00","5,27","5,89","8,45","7,27","10,89","8,10","7,73","7,00","8,48","9,96","6,16","6,51","4,67","6,82","7,39","4,03","9,77","5,07"
CURITIBA,"6,42","4,86","8,35","9,39","6,48","0,00","5,15","5,36","5,41","5,78","10,43","7,31","2,82","8,00","7,36","9,51","5,16","4,92","6,00","6,40","6,61","3,72","9,27","4,70"
SALVADOR,"8,20","4,69","8,16","4,38","8,74","9,00","6,84","7,64","6,12","7,96","9,39","9,49","7,94","10,00","8,44","9,94","7,99","8,63","9,33","8,97","7,90","4,62","8,89","4,03"
SAO CARLOS,"6,84","3,98","7,98","10,00","7,11","0,00","5,27","5,54","6,66","7,09","9,13","9,23","7,05","8,00","8,46","9,54","6,10","6,45","5,33","6,86","6,37","3,87","10,00","3,03"
USP,"7,22","4,58","8,03","10,00","6,65","3,33","6,22","6,56","6,30","7,75","9,74","9,10","9,00","6,00","8,41","9,88","7,76","4,85","4,67","6,79","6,83","2,85","8,43","4,80"
VITÓRIA,"7,13","4,90","8,68","10,00","8,30","0,00","5,32","5,93","5,82","7,04","7,48","8,88","5,51","10,00","7,80","9,62","5,51","7,70","10,00","8,21","6,84","3,98","6,96","5,02"
ARACAJU,"9,47","3,99","9,15","10,00","10,00","10,00","5,72","9,40","8,82","8,50","11,77","9,69","8,75","10,00","9,64","10,00","9,60","9,57","8,67","9,46","9,33","3,97","9,78","3,03"
ESPM,"6,31","3,62","8,20","9,99","7,60","0,00","4,69","5,63","3,62","7,64","9,43","7,64","3,91","10,00","7,63","9,77","5,47","2,90","10,00","7,03","4,62","3,21","10,00","2,75"
FORTALEZA,"6,27","3,57","8,02","5,68","7,19","0,00","4,00","4,58","8,53","6,67","9,14","9,15","6,59","10,00","8,33","8,89","6,46","7,47","8,00","7,71","4,26","4,04","9,26","2,38"
JOAO PESSOA,"7,43","3,35","8,87","9,56","5,78","2,00","4,56","5,90","7,24","7,35","9,78","8,80","7,74","10,00","8,76","9,94","8,26","6,47","10,00","8,67","6,48","3,09","10,00","2,37"
LIMEIRA,"7,41","3,34","7,26","4,75","7,69","4,33","7,57","6,00","5,11","7,35","8,87","7,51","5,20","9,00","7,72","9,84","8,02","8,85","10,00","9,18","7,30","3,10","10,00","2,36"
MACEIO,"6,57","3,03","8,34","3,24","8,62","0,00","3,83","4,42","6,66","6,53","10,64","9,50","8,00","10,00","8,58","9,92","6,20","5,93","10,00","8,01","5,34","3,26","10,00","1,76"
MARINGÁ,"7,31","3,19","8,67","10,00","8,10","8,33","5,45","8,40","6,17","7,19","9,50","9,15","7,69","8,00","7,80","9,79","6,14","6,90","2,00","6,21","6,05","2,49","10,00","2,40"
NATAL,"6,41","3,75","8,12","3,14","6,89","0,00","5,70","4,20","7,19","6,28","8,27","7,49","6,00","10,00","7,86","9,21","5,20","9,71","6,00","7,53","6,46","2,67","9,36","3,35"
PORTO ALEGRE,"6,56","3,92","7,69","9,71","7,64","0,00","6,16","5,62","6,14","5,95","9,62","8,46","7,20","10,00","7,67","9,74","5,58","5,87","7,33","7,13","5,75","2,68","8,80","3,73"
RECIFE,"5,82","3,13","7,76","3,70","6,89","1,00","5,55","4,53","5,48","5,53","10,69","7,94","7,69","3,00","7,08","9,25","5,33","1,17","7,33","5,77","5,94","2,21","10,00","2,45"
SANTA MARIA,"7,61","3,21","8,61","10,00","8,46","4,00","6,02","7,22","8,16","6,81","9,99","8,13","6,82","10,00","8,22","9,54","5,36","6,59","8,67","7,54","7,37","2,42","10,00","2,48"
ABC,"7,37","2,93","7,97","7,71","9,40","4,00","5,17","6,73","5,77","8,10","8,84","9,37","7,50","10,00","8,60","10,00","7,23","6,68","10,00","8,48","5,36","2,69","9,49","1,96"
CUIABA,"7,35","3,05","8,89","9,87","8,06","0,00","5,49","5,91","7,74","8,77","9,53","9,58","8,33","10,00","9,17","9,66","7,58","8,63","8,00","8,47","5,64","2,23","10,00","2,30"
FLORIANÓPOLIS,"6,65","2,83","8,82","5,87","8,07","0,33","6,25","5,28","5,57","7,03","10,32","9,17","6,67","5,00","7,96","9,45","6,51","9,13","9,33","8,61","4,77","2,51","8,25","2,09"
GETÚLIO VARGAS,"6,06","2,71","7,81","8,79","7,82","0,00","6,18","5,50","6,50","5,73","9,72","6,78","8,33","8,00","7,38","9,54","4,82","3,27","5,33","5,74","5,24","1,46","10,00","2,11"
ITAJUBA,"6,64","2,86","8,43","1,24","8,33","1,00","4,90","4,39","4,91","6,71","8,20","8,55","7,50","10,00","7,65","9,15","6,86","6,26","8,67","7,73","7,42","2,94","8,33","1,90"
MACKENZIE,"6,32","2,64","8,30","0,39","6,67","1,00","5,56","3,93","7,02","6,29","8,38","9,13","6,50","10,00","7,93","9,76","6,40","8,60","6,67","7,86","5,98","2,54","9,01","1,63"
PELOTAS,"6,00","2,73","6,31","0,00","5,68","4,00","0,29","3,63","6,18","6,92","7,45","8,70","5,29","8,00","7,83","7,06","7,29","7,45","7,33","7,28","5,51","2,81","10,00","1,48"
RIO DE JANEIRO,"5,84","2,90","7,38","2,59","3,54","0,00","4,91","3,19","4,20","5,84","8,12","8,91","6,33","8,00","7,31","9,52","6,12","8,28","8,67","8,15","5,29","2,28","8,88","2,21"
TERESINA,"7,80","2,63","8,76","8,67","7,90","5,67","4,49","7,21","6,68","7,61","9,67","10,00","10,00","10,00","8,72","9,40","6,42","7,35","9,33","8,12","6,99","2,20","10,00","1,61"
UBERLÂNDIA,"6,42","2,58","8,06","7,07","7,86","0,00","5,84","5,18","3,28","6,88","9,48","9,00","7,83","10,00","7,91","8,48","7,15","6,55","8,67","7,71","4,75","2,53","5,00","2,20"
VALE DO SAO FRANCISCO,"6,39","2,69","7,61","0,00","4,22","3,00","1,90","3,46","5,68","6,80","6,48","9,65","8,71","10,00","7,80","9,94","7,72","9,02","10,00","9,17","5,88","2,49","10,00","1,57"
BALNEARIO CAMBORIU,"5,92","2,51","7,53","0,00","1,25","6,67","4,16","4,17","6,94","4,10","8,40","8,17","9,09","8,00","6,67","8,60","7,62","5,90","8,67","7,70","5,63","2,06","10,00","1,48"
BAURU,"7,40","2,48","9,11","10,00","7,94","0,00","5,85","5,99","5,88","8,29","8,25","8,90","5,60","10,00","8,36","9,69","8,72","7,55","9,33","8,82","6,65","1,84","8,81","1,74"
BLUMENAU,"7,35","2,43","8,99","10,00","9,42","3,33","5,35","7,22","5,76","5,76","9,84","9,33","7,33","6,00","7,50","10,00","7,94","4,66","9,33","7,98","6,71","1,85","10,00","1,46"
CAMPO GRANDE,"7,00","2,55","8,93","5,02","9,00","3,33","5,22","6,11","8,05","6,11","8,62","10,00","10,00","8,00","7,82","9,93","6,73","8,24","8,00","8,23","5,87","1,61","10,00","1,78"
CHAPECO,"6,00","2,28","7,89","6,60","3,00","0,00","2,62","3,76","3,97","5,00","10,80","8,56","7,14","10,00","7,52","9,17","6,16","6,89","8,67","7,72","5,36","1,81","10,00","1,23"
FRANCA,"6,66","2,05","8,05","0,63","9,62","10,00","5,05","7,16","9,40","4,81","8,41","6,21","5,45","3,00","7,08","9,24","7,01","6,90","8,67","7,95","3,99","1,72","8,33","1,16"
INSPER,"6,24","2,08","7,70","0,00","8,12","3,00","4,12","4,47","3,85","4,78","9,02","7,61","8,75","8,00","6,89","9,88","6,65","7,85","5,33","7,43","6,74","1,92","10,00","0,84"
Palmas,"7,35","2,13","7,28","0,00","4,53","3,33","5,83","3,95","6,64","8,41","8,74","10,00","10,00","10,00","8,72","10,00","9,01","6,36","10,00","8,84","8,89","2,50","6,67","1,18"
SANTOS,"7,25","2,46","7,46","4,37","8,40","10,00","3,98","7,44","5,55","7,85","9,26","9,58","8,33","10,00","8,43","9,85","6,67","5,80","4,67","6,75","5,66","2,11","10,00","1,38"
VIÇOSA,"6,67","2,43","8,84","5,00","6,26","0,00","4,92","4,51","6,33","8,05","8,63","8,89","6,47","10,00","8,35","9,78","9,78","9,83","8,67","9,52","4,53","2,11","10,00","1,33"
BELÉM,"3,67","2,54","7,41","0,00","5,69","0,00","3,34","2,95","6,40","2,20","3,23","3,49","1,33","0,00","4,43","8,85","5,63","2,32","2,67","4,87","2,39","3,31","10,00","0,90"
GOIANIA,"4,16","2,25","4,86","0,85","2,74","0,00","0,00","1,69","4,60","4,63","6,48","5,95","0,00","0,00","5,86","9,02","5,17","1,00","8,00","5,80","3,68","2,28","9,64","1,01"
JOINVILLE,"3,82","1,72","6,73","0,14","2,29","0,00","1,21","1,95","4,23","3,18","7,43","6,18","7,00","3,00","5,18","9,02","4,72","2,80","3,33","4,97","3,42","1,26","5,81","1,27"
LONDRINA,"5,90","2,21","6,67","0,00","5,11","3,33","2,85","3,64","5,25","6,56","10,87","8,96","10,00","4,00","7,51","9,47","7,47","7,01","6,67","7,65","5,11","2,12","6,67","1,52"
MANAUS,"5,68","2,25","8,38","0,00","3,21","0,00","3,86","2,70","4,45","5,19","7,36","9,41","7,62","10,00","7,11","8,75","7,21","9,67","8,67","8,57","5,12","2,30","8,85","1,13"
SAO JOSÉ DO RIO PRETO,"6,24","2,11","6,83","2,63","6,84","0,33","7,30","4,09","6,08","5,36","7,87","8,26","6,36","7,00","7,12","9,38","8,52","6,43","10,00","8,58","5,79","2,22","7,85","1,09"
São Luis,"4,58","1,56","5,42","0,00","7,82","0,00","5,73","3,22","3,93","2,07","6,91","4,77","0,00","0,00","5,35","5,52","2,81","2,76","10,00","5,27","4,77","1,75","7,31","0,51"
SOROCABA,"5,47","2,41","7,91","2,63","3,00","0,00","5,77","3,28","6,32","7,64","9,67","6,28","8,57","8,00","7,79","9,58","7,16","7,79","7,33","7,97","2,77","2,09","9,69","1,36"
VALE DO PARAÍBA,"4,39","2,00","6,49","0,00","4,53","0,00","5,26","2,73","5,96","5,12","6,67","3,90","7,50","1,00","5,70","9,28","7,81","5,78","4,67","6,89","2,41","1,94","10,00","0,69"
VOLTA REDONDA,"6,30","2,14","6,99","0,08","5,57","0,00","3,65","2,89","5,52","7,36","8,20","9,22","6,88","10,00","8,24","9,80","8,61","7,48","2,00","6,97","7,81","1,87","10,00","0,96"
